gene,rho,pval
ENSG00000118960.11,0.5187530936783019,4.6209050390209566e-31
ENSG00000053501.11,0.518435619296153,5.0926925995637445e-31
ENSG00000106348.15,0.5182398640682939,5.40702661993266e-31
ENSG00000007047.13,0.5181808735787291,5.5054596168917085e-31
ENSG00000103043.13,0.5179201083833724,5.962245825307373e-31
ENSG00000102103.14,0.5176161485628419,6.5421797979493315e-31
ENSG00000111676.13,0.5174812628690817,6.817084151669732e-31
ENSG00000052749.12,0.5169446538330243,8.028520321614489e-31
ENSG00000105568.16,0.5169207205346559,8.087250299334808e-31
ENSG00000105556.9,0.5165411527044835,9.077542404996873e-31
ENSG00000114544.14,0.516498007775029,9.197435511916713e-31
ENSG00000090372.13,0.5164236246774657,9.407823410603252e-31
ENSG00000071894.13,0.5158779325655652,1.1103878851582283e-30
ENSG00000108469.13,0.5157926291214541,1.1395040072440008e-30
ENSG00000112658.7,0.5154561715142629,1.2618935381236677e-30
ENSG00000088038.16,0.5152921586777077,1.3261818258285774e-30
ENSG00000104884.13,0.5147732261459229,1.5516924161897521e-30
ENSG00000103126.13,0.5147019925617689,1.5854721729734868e-30
ENSG00000015676.16,0.5145862636996462,1.6419092505363497e-30
ENSG00000102100.13,0.5142724496488563,1.8051404140157778e-30
ENSG00000076928.16,0.5141378077946417,1.880002234953789e-30
ENSG00000078061.11,0.5134451092123494,2.316463702966703e-30
ENSG00000090447.10,0.5134393568525865,2.3204785306821836e-30
ENSG00000101400.5,0.5127205057581397,2.8803583468860597e-30
ENSG00000102225.14,0.5124050393479503,3.166433042280643e-30
ENSG00000005075.14,0.5117846636866621,3.8134372379182396e-30
ENSG00000115204.13,0.5117342628879052,3.8714116336393695e-30
ENSG00000116521.9,0.511709751756584,3.899920160832048e-30
ENSG00000070814.16,0.5114086893610474,4.2674826418828656e-30
ENSG00000059122.15,0.5112486296481183,4.476637673076576e-30
ENSG00000105325.12,0.5111263358882696,4.643245544064672e-30
ENSG00000106211.8,0.5108905235609561,4.982005691765168e-30
ENSG00000105700.9,0.5108050442665923,5.110744462256261e-30
ENSG00000104960.14,0.5107687278546332,5.166430646268118e-30
ENSG00000071564.13,0.5107372125683074,5.2152409672919836e-30
ENSG00000081692.11,0.510355624354891,5.8436894894549766e-30
ENSG00000063245.13,0.5100432153322312,6.41350336492539e-30
ENSG00000083838.14,0.509515215656438,7.504021492617536e-30
ENSG00000102302.7,0.5088968697032809,9.015943505076482e-30
ENSG00000008710.16,0.5088358943068559,9.18043595557647e-30
ENSG00000090565.14,0.5087857828226721,9.317839837563834e-30
ENSG00000090097.19,0.508670340025684,9.642166491339024e-30
ENSG00000099364.15,0.5086227305191285,9.779149857812821e-30
ENSG00000108828.14,0.5085499927532151,9.992157352962785e-30
ENSG00000005007.11,0.5080939526895696,1.1436164990606418e-29
ENSG00000105705.14,0.5080105168425987,1.1721846317575351e-29
ENSG00000064490.12,0.5077653439434872,1.260277930699457e-29
ENSG00000008838.16,0.5075708449383607,1.3347933419699606e-29
ENSG00000073008.13,0.5069233721060442,1.6156515261901274e-29
ENSG00000067829.17,0.5069069958464687,1.6234652718943455e-29
ENSG00000107719.8,0.5066494091392169,1.7514017165123957e-29
ENSG00000007080.9,0.5065766370024841,1.78931797582285e-29
ENSG00000102977.12,0.5065524786975395,1.802083672189644e-29
ENSG00000103202.11,0.5057354183441968,2.2911325339646848e-29
ENSG00000115649.14,0.505494199140593,2.4591298187636128e-29
ENSG00000011275.17,0.5053847121457195,2.5393466334682633e-29
ENSG00000038358.13,0.50510965884568,2.7524610429347744e-29
ENSG00000063322.12,0.504554194085621,3.238206579169669e-29
ENSG00000032444.14,0.5045096025496526,3.2806902267047995e-29
ENSG00000068001.12,0.5044296791391638,3.3582190446031155e-29
ENSG00000102125.14,0.5042323966150088,3.5574307887538555e-29
